Team,1st Group,2nd Group,8th Finals,4th Finals,Semi Finals,Final,Winner,Third
argentina,0.7404999999999999,0.157,0.8975,0.6539999999999999,0.471,0.2735,0.178,0.0
australia,0.10300000000000001,0.42899999999999994,0.532,0.15350000000000003,0.046,0.010499999999999999,0.0,0.0
belgium,0.4425,0.275,0.7175,0.5285,0.35950000000000004,0.23500000000000001,0.1215,0.35950000000000004
brazil,0.6014999999999999,0.203,0.8045,0.6475,0.356,0.182,0.096,0.356
cameroon,0.1005,0.253,0.35350000000000004,0.188,0.08349999999999999,0.025,0.007,0.08349999999999999
canada,0.0605,0.13549999999999998,0.196,0.05,0.0325,0.016,0.006,0.0325
costa-rica,0.045,0.11499999999999999,0.16,0.03,0.0125,0.0075,0.0,0.0125
croatia,0.14700000000000002,0.2295,0.3765,0.15000000000000002,0.059,0.025500000000000002,0.007,0.059
denmark,0.14700000000000002,0.354,0.501,0.1355,0.053500000000000006,0.0215,0.009500000000000001,0.0
ecuador,0.0835,0.161,0.2445,0.028,0.0035,0.0025,0.0,0.0
england,0.748,0.188,0.9359999999999999,0.694,0.3515,0.1555,0.073,0.0
france,0.749,0.1955,0.9445,0.6295,0.431,0.27549999999999997,0.16699999999999998,0.0
germany,0.4385,0.371,0.8095,0.4215,0.2725,0.1775,0.076,0.2725
ghana,0.031,0.2765,0.3075,0.039,0.0075,0.0,0.0,0.0075
iran,0.08499999999999999,0.33599999999999997,0.42100000000000004,0.124,0.0195,0.008,0.001,0.0
japan,0.057499999999999996,0.22099999999999997,0.27849999999999997,0.08,0.022500000000000003,0.0155,0.0095,0.022500000000000003
mexico,0.1125,0.41900000000000004,0.5315000000000001,0.193,0.0915,0.0305,0.012,0.0
morocco,0.35,0.36,0.71,0.39449999999999996,0.163,0.077,0.032,0.163
netherlands,0.54,0.36,0.9,0.5389999999999999,0.24150000000000002,0.096,0.05,0.0
poland,0.14700000000000002,0.313,0.45999999999999996,0.22349999999999998,0.10600000000000001,0.049,0.025500000000000002,0.0
portugal,0.807,0.14350000000000002,0.9505,0.5349999999999999,0.261,0.128,0.051000000000000004,0.261
qatar,0.006,0.014,0.02,0.0,0.0,0.0,0.0,0.0
saudi-arabia,0.0,0.111,0.111,0.011,0.005,0.0,0.0,0.0
senegal,0.3705,0.46499999999999997,0.8354999999999999,0.378,0.14500000000000002,0.067,0.0345,0.0
serbia,0.1935,0.32300000000000006,0.5165,0.296,0.119,0.0385,0.018000000000000002,0.119
south-korea,0.1,0.3055,0.40549999999999997,0.087,0.028000000000000004,0.0145,0.002,0.028000000000000004
spain,0.459,0.29300000000000004,0.752,0.34550000000000003,0.127,0.0355,0.009000000000000001,0.127
switzerland,0.10450000000000001,0.22099999999999997,0.3255,0.173,0.08149999999999999,0.018000000000000002,0.005,0.08149999999999999
tunisia,0.001,0.0215,0.0225,0.0,0.0,0.0,0.0,0.0
uruguay,0.062,0.27449999999999997,0.3365,0.0345,0.015,0.0045000000000000005,0.0045000000000000005,0.015
usa,0.1505,0.398,0.5485,0.20900000000000002,0.027000000000000003,0.009500000000000001,0.005,0.0
wales,0.0165,0.078,0.0945,0.028,0.008,0.001,0.0,0.0
